sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdzialow | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.104 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:28:14 UTC Thu Jun 25 2020 | Duration: 1d 19h:02m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 2590025181 | Bytes Rx: 863779473 | IP Addr: 10.145.232.104 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:28:14 UTC Thu Jun 25 2020 | Duration: 1d 19h:02m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 2590025181 | Bytes Rx: 863779473 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 161 | Audit Session ID: 0a910728000a10005ef4601e | Security Group Tag: none | EasyVPN: 0 |Session ID: 161 | Audit Session ID: 0a910728000a10005ef4601e | Security Group Tag: none | EasyVPN: 0 ||
Username: chikumar | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.137 | Public IP: 47.30.198.167 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:06:18 UTC Thu Jun 25 2020 | Duration: 1d 15h:24m:09s | Inactivity:  12h:28m:36s | Bytes Tx: 1084606896 | Bytes Rx: 454117988 | IP Addr: 10.145.232.137 | Public IP: 47.30.198.167 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:06:18 UTC Thu Jun 25 2020 | Duration: 1d 15h:24m:09s | Inactivity:  12h:28m:36s | Bytes Tx: 1084606896 | Bytes Rx: 454117988 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 267 | Audit Session ID: 0a9107280010b0005ef4933a | Security Group Tag: none | EasyVPN: 0 |Session ID: 267 | Audit Session ID: 0a9107280010b0005ef4933a | Security Group Tag: none | EasyVPN: 0 ||
Username: Pkadlag | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.151 | Public IP: 157.47.14.93 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:27:27 UTC Thu Jun 25 2020 | Duration: 1d 15h:03m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 360889178 | Bytes Rx: 150791949 | IP Addr: 10.145.232.151 | Public IP: 157.47.14.93 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:27:27 UTC Thu Jun 25 2020 | Duration: 1d 15h:03m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 360889178 | Bytes Rx: 150791949 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 276 | Audit Session ID: 0a910728001140005ef4982f | Security Group Tag: none | EasyVPN: 0 |Session ID: 276 | Audit Session ID: 0a910728001140005ef4982f | Security Group Tag: none | EasyVPN: 0 ||
Username: aausten | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.88 | Public IP: 95.222.193.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:12 UTC Fri Jun 26 2020 | Duration: 20h:28m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1152422636 | Bytes Rx: 237674801 | IP Addr: 10.145.232.88 | Public IP: 95.222.193.138 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:12 UTC Fri Jun 26 2020 | Duration: 20h:28m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1152422636 | Bytes Rx: 237674801 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 473 | Audit Session ID: 0a910728001d90005ef59d74 | Security Group Tag: none | EasyVPN: 0 |Session ID: 473 | Audit Session ID: 0a910728001d90005ef59d74 | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.114 | Public IP: 90.251.45.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:45:01 UTC Fri Jun 26 2020 | Duration: 19h:45m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2794980190 | Bytes Rx: 236604968 | IP Addr: 10.145.232.114 | Public IP: 90.251.45.189 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:45:01 UTC Fri Jun 26 2020 | Duration: 19h:45m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2794980190 | Bytes Rx: 236604968 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 517 | Audit Session ID: 0a910728002050005ef5a77d | Security Group Tag: none | EasyVPN: 0 |Session ID: 517 | Audit Session ID: 0a910728002050005ef5a77d | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.221 | Public IP: 42.108.168.27 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:03:24 UTC Fri Jun 26 2020 | Duration: 16h:27m:03s | Inactivity:  8h:26m:26s | Bytes Tx: 546339199 | Bytes Rx: 112171319 | IP Addr: 10.145.232.221 | Public IP: 42.108.168.27 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:03:24 UTC Fri Jun 26 2020 | Duration: 16h:27m:03s | Inactivity:  8h:26m:26s | Bytes Tx: 546339199 | Bytes Rx: 112171319 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 643 | Audit Session ID: 0a910728002830005ef5d5fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 643 | Audit Session ID: 0a910728002830005ef5d5fc | Security Group Tag: none | EasyVPN: 0 ||
Username: ighaouar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.211 | Public IP: 82.124.213.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:08:54 UTC Fri Jun 26 2020 | Duration: 16h:21m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 399208546 | Bytes Rx: 143641150 | IP Addr: 10.145.232.211 | Public IP: 82.124.213.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:08:54 UTC Fri Jun 26 2020 | Duration: 16h:21m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 399208546 | Bytes Rx: 143641150 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 647 | Audit Session ID: 0a910728002870005ef5d746 | Security Group Tag: none | EasyVPN: 0 |Session ID: 647 | Audit Session ID: 0a910728002870005ef5d746 | Security Group Tag: none | EasyVPN: 0 ||
Username: lwalgate | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.242 | Public IP: 82.14.246.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:34 UTC Fri Jun 26 2020 | Duration: 16h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 203035003 | Bytes Rx: 50314363 | IP Addr: 10.145.232.242 | Public IP: 82.14.246.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:34 UTC Fri Jun 26 2020 | Duration: 16h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 203035003 | Bytes Rx: 50314363 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 657 | Audit Session ID: 0a910728002910005ef5d912 | Security Group Tag: none | EasyVPN: 0 |Session ID: 657 | Audit Session ID: 0a910728002910005ef5d912 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.164 | Public IP: 90.214.217.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:09:44 UTC Fri Jun 26 2020 | Duration: 9h:20m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 149204430 | Bytes Rx: 59416501 | IP Addr: 10.145.232.164 | Public IP: 90.214.217.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:09:44 UTC Fri Jun 26 2020 | Duration: 9h:20m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 149204430 | Bytes Rx: 59416501 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 769 | Audit Session ID: 0a910728003010005ef639e8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 769 | Audit Session ID: 0a910728003010005ef639e8 | Security Group Tag: none | EasyVPN: 0 ||
Username: PracKale | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.139 | Public IP: 157.47.25.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:34:33 UTC Sat Jun 27 2020 | Duration: 1h:55m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 93034088 | Bytes Rx: 24081551 | IP Addr: 10.145.232.139 | Public IP: 157.47.25.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:34:33 UTC Sat Jun 27 2020 | Duration: 1h:55m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 93034088 | Bytes Rx: 24081551 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 790 | Audit Session ID: 0a910728003160005ef6a229 | Security Group Tag: none | EasyVPN: 0 |Session ID: 790 | Audit Session ID: 0a910728003160005ef6a229 | Security Group Tag: none | EasyVPN: 0 ||
Username: KoTalape | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.179 | Public IP: 49.35.77.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:36:43 UTC Sat Jun 27 2020 | Duration: 1h:53m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 66725271 | Bytes Rx: 26268372 | IP Addr: 10.145.232.179 | Public IP: 49.35.77.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:36:43 UTC Sat Jun 27 2020 | Duration: 1h:53m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 66725271 | Bytes Rx: 26268372 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 791 | Audit Session ID: 0a910728003170005ef6a2ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 791 | Audit Session ID: 0a910728003170005ef6a2ab | Security Group Tag: none | EasyVPN: 0 ||
