sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ganemuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.200 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:14:50 IST Sat Jul 18 2020 | Duration: 1d 14h:15m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 42160968 | Bytes Rx: 25982086 | IP Addr: 10.149.232.200 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:14:50 IST Sat Jul 18 2020 | Duration: 1d 14h:15m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 42160968 | Bytes Rx: 25982086 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13968 | Audit Session ID: 0a95072a036900005f12eec2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13968 | Audit Session ID: 0a95072a036900005f12eec2 | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 13h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 358312038 | Bytes Rx: 134030254 | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 13h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 358312038 | Bytes Rx: 134030254 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 12h:47m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 164926536 | Bytes Rx: 274213835 | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 12h:47m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 164926536 | Bytes Rx: 274213835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: SajaniJ | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.194 | Public IP: 106.208.135.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:56:01 IST Sun Jul 19 2020 | Duration: 12h:34m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 224975002 | Bytes Rx: 117232647 | IP Addr: 10.149.232.194 | Public IP: 106.208.135.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:56:01 IST Sun Jul 19 2020 | Duration: 12h:34m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 224975002 | Bytes Rx: 117232647 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14931 | Audit Session ID: 0a95072a03a530005f1457f9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14931 | Audit Session ID: 0a95072a03a530005f1457f9 | Security Group Tag: none | EasyVPN: 0 ||
Username: chrisang | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 6h:45m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1944737198 | Bytes Rx: 71783962 | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 6h:45m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1944737198 | Bytes Rx: 71783962 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 ||
Username: pdhanala | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.192 | Public IP: 115.98.191.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:33:24 IST Mon Jul 20 2020 | Duration: 2h:56m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 648075287 | Bytes Rx: 29687259 | IP Addr: 10.149.232.192 | Public IP: 115.98.191.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:33:24 IST Mon Jul 20 2020 | Duration: 2h:56m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 648075287 | Bytes Rx: 29687259 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15152 | Audit Session ID: 0a95072a03b300005f14df4c | Security Group Tag: none | EasyVPN: 0 |Session ID: 15152 | Audit Session ID: 0a95072a03b300005f14df4c | Security Group Tag: none | EasyVPN: 0 ||
Username: vvaiyapu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 2h:49m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 243379825 | Bytes Rx: 236366330 | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 2h:49m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 243379825 | Bytes Rx: 236366330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 |Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.195 | Public IP: 157.46.3.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 2h:44m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 52954312 | Bytes Rx: 26761204 | IP Addr: 10.149.232.195 | Public IP: 157.46.3.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 2h:44m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 52954312 | Bytes Rx: 26761204 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 |Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 2h:31m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 249338612 | Bytes Rx: 48731908 | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 2h:31m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 249338612 | Bytes Rx: 48731908 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 |Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 ||
Username: rsundarr | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 2h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 68813636 | Bytes Rx: 38396298 | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 2h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 68813636 | Bytes Rx: 38396298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 |Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 ||
Username: laksnara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 2h:22m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 74622753 | Bytes Rx: 17934536 | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 2h:22m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 74622753 | Bytes Rx: 17934536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 ||
