sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 17d 22h:21m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2589683128 | Bytes Rx: 2708922585 | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 17d 22h:21m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2589683128 | Bytes Rx: 2708922585 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 12h:53m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1319344255 | Bytes Rx: 850390289 | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 12h:53m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1319344255 | Bytes Rx: 850390289 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 |Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 ||
Username: Srchanda | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 13h:21m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1168550067 | Bytes Rx: 293939995 | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 13h:21m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1168550067 | Bytes Rx: 293939995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 ||
Username: Skambale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 1h:13m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 187972150 | Bytes Rx: 191213219 | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 1h:13m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 187972150 | Bytes Rx: 191213219 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 ||
Username: piyuspat | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.17 | Public IP: 103.249.243.40 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 20:49:22 IST Sun Jul 19 2020 | Duration: 11h:40m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 4544681446 | Bytes Rx: 587258716 | IP Addr: 10.150.237.17 | Public IP: 103.249.243.40 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 20:49:22 IST Sun Jul 19 2020 | Duration: 11h:40m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 4544681446 | Bytes Rx: 587258716 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141791 | Audit Session ID: 0a96cf69229df0005f14647a | Security Group Tag: none | EasyVPN: 0 |Session ID: 141791 | Audit Session ID: 0a96cf69229df0005f14647a | Security Group Tag: none | EasyVPN: 0 ||
Username: shatak | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.17 | Public IP: 103.97.104.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:50:50 IST Sun Jul 19 2020 | Duration: 11h:39m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1630713550 | Bytes Rx: 354617460 | IP Addr: 10.150.236.17 | Public IP: 103.97.104.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:50:50 IST Sun Jul 19 2020 | Duration: 11h:39m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1630713550 | Bytes Rx: 354617460 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141800 | Audit Session ID: 0a96cf69229e80005f1464d2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 141800 | Audit Session ID: 0a96cf69229e80005f1464d2 | Security Group Tag: none | EasyVPN: 0 ||
Username: SachJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.204 | Public IP: 49.35.220.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:32 IST Sun Jul 19 2020 | Duration: 11h:38m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1787211247 | Bytes Rx: 522523217 | IP Addr: 10.150.237.204 | Public IP: 49.35.220.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:32 IST Sun Jul 19 2020 | Duration: 11h:38m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1787211247 | Bytes Rx: 522523217 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 141802 | Audit Session ID: 0a96cf69229ea0005f1464fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 141802 | Audit Session ID: 0a96cf69229ea0005f1464fc | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 9h:03m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 30014763 | Bytes Rx: 20345489 | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 9h:03m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 30014763 | Bytes Rx: 20345489 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 ||
Username: surbhale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC10 | IP Addr: 10.150.245.245 | Public IP: 106.193.81.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:44:00 IST Sun Jul 19 2020 | Duration: 8h:46m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 237868671 | Bytes Rx: 204472764 | IP Addr: 10.150.245.245 | Public IP: 106.193.81.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:44:00 IST Sun Jul 19 2020 | Duration: 8h:46m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 237868671 | Bytes Rx: 204472764 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142072 | Audit Session ID: 0a96cf6922af80005f148d68 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142072 | Audit Session ID: 0a96cf6922af80005f148d68 | Security Group Tag: none | EasyVPN: 0 ||
Username: sijayara | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 3h:02m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 535693655 | Bytes Rx: 27667294 | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 3h:02m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 535693655 | Bytes Rx: 27667294 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 |Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 2h:42m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 4851004 | Bytes Rx: 3072226 | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 2h:42m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 4851004 | Bytes Rx: 3072226 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 ||
