sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: srobinso | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 1h:59m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2654078232 | Bytes Rx: 937354877 | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 1h:59m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 2654078232 | Bytes Rx: 937354877 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.61 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:29:08 GMT Mon Jul 13 2020 | Duration: 6d 20h:31m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2183531046 | Bytes Rx: 675535392 | IP Addr: 10.144.232.61 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:29:08 GMT Mon Jul 13 2020 | Duration: 6d 20h:31m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 2183531046 | Bytes Rx: 675535392 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 240 | Audit Session ID: 0a90076b000f00005f0bff34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 240 | Audit Session ID: 0a90076b000f00005f0bff34 | Security Group Tag: none | EasyVPN: 0 ||
Username: r.garcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.33 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:25:49 GMT Mon Jul 13 2020 | Duration: 6d 19h:34m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 5673063002 | Bytes Rx: 1992401101 | IP Addr: 10.144.230.33 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:25:49 GMT Mon Jul 13 2020 | Duration: 6d 19h:34m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 5673063002 | Bytes Rx: 1992401101 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 251 | Audit Session ID: 0a90076b000fb0005f0c0c7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 251 | Audit Session ID: 0a90076b000fb0005f0c0c7d | Security Group Tag: none | EasyVPN: 0 ||
Username: dvinnako | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.43 | Public IP: 108.51.146.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:27:18 GMT Mon Jul 13 2020 | Duration: 6d 14h:33m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 10486775452 | Bytes Rx: 1658897229 | IP Addr: 10.144.232.43 | Public IP: 108.51.146.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:27:18 GMT Mon Jul 13 2020 | Duration: 6d 14h:33m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 10486775452 | Bytes Rx: 1658897229 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 365 | Audit Session ID: 0a90076b0016d0005f0c5326 | Security Group Tag: none | EasyVPN: 0 |Session ID: 365 | Audit Session ID: 0a90076b0016d0005f0c5326 | Security Group Tag: none | EasyVPN: 0 ||
Username: l.benson | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.81 | Public IP: 101.99.197.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:01:21 GMT Tue Jul 14 2020 | Duration: 6d 2h:58m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1558920634 | Bytes Rx: 564905637 | IP Addr: 10.144.232.81 | Public IP: 101.99.197.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:01:21 GMT Tue Jul 14 2020 | Duration: 6d 2h:58m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1558920634 | Bytes Rx: 564905637 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 583 | Audit Session ID: 0a90076b002470005f0cf5d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 583 | Audit Session ID: 0a90076b002470005f0cf5d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: nbrowne | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.83 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:46:02 GMT Tue Jul 14 2020 | Duration: 5d 15h:14m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 3071203432 | Bytes Rx: 879762230 | IP Addr: 10.144.232.83 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:46:02 GMT Tue Jul 14 2020 | Duration: 5d 15h:14m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 3071203432 | Bytes Rx: 879762230 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 790 | Audit Session ID: 0a90076b003160005f0d9afa | Security Group Tag: none | EasyVPN: 0 |Session ID: 790 | Audit Session ID: 0a90076b003160005f0d9afa | Security Group Tag: none | EasyVPN: 0 ||
Username: Dgarcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.35 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 09:40:13 GMT Wed Jul 15 2020 | Duration: 4d 17h:20m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2613969912 | Bytes Rx: 1187845308 | IP Addr: 10.144.230.35 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 09:40:13 GMT Wed Jul 15 2020 | Duration: 4d 17h:20m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2613969912 | Bytes Rx: 1187845308 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1139 | Audit Session ID: 0a90076b004730005f0ecefd | Security Group Tag: none | EasyVPN: 0 |Session ID: 1139 | Audit Session ID: 0a90076b004730005f0ecefd | Security Group Tag: none | EasyVPN: 0 ||
Username: rmandava | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.12 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 10:46:16 GMT Wed Jul 15 2020 | Duration: 4d 16h:14m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 10894750234 | Bytes Rx: 4510385051 | IP Addr: 10.144.232.12 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 10:46:16 GMT Wed Jul 15 2020 | Duration: 4d 16h:14m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 10894750234 | Bytes Rx: 4510385051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1165 | Audit Session ID: 0a90076b0048d0005f0ede78 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1165 | Audit Session ID: 0a90076b0048d0005f0ede78 | Security Group Tag: none | EasyVPN: 0 ||
Username: t.vanorden | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.133 | Public IP: 24.191.99.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:06:38 GMT Wed Jul 15 2020 | Duration: 4d 12h:53m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 24898925157 | Bytes Rx: 2279499702 | IP Addr: 10.144.232.133 | Public IP: 24.191.99.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:06:38 GMT Wed Jul 15 2020 | Duration: 4d 12h:53m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 24898925157 | Bytes Rx: 2279499702 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1267 | Audit Session ID: 0a90076b004f30005f0f0d6e | Security Group Tag: none | EasyVPN: 0 |Session ID: 1267 | Audit Session ID: 0a90076b004f30005f0f0d6e | Security Group Tag: none | EasyVPN: 0 ||
Username: j.remishofski | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.14 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:51:34 GMT Wed Jul 15 2020 | Duration: 4d 6h:08m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1858840439 | Bytes Rx: 610173967 | IP Addr: 10.144.232.14 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:51:34 GMT Wed Jul 15 2020 | Duration: 4d 6h:08m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1858840439 | Bytes Rx: 610173967 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1355 | Audit Session ID: 0a90076b0054b0005f0f6c56 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1355 | Audit Session ID: 0a90076b0054b0005f0f6c56 | Security Group Tag: none | EasyVPN: 0 ||
Username: p.wilkinson | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.85 | Public IP: 86.148.214.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:18:59 GMT Thu Jul 16 2020 | Duration: 3d 20h:41m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1824788384 | Bytes Rx: 654600311 | IP Addr: 10.144.230.85 | Public IP: 86.148.214.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:18:59 GMT Thu Jul 16 2020 | Duration: 3d 20h:41m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1824788384 | Bytes Rx: 654600311 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1450 | Audit Session ID: 0a90076b005aa0005f0ff153 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1450 | Audit Session ID: 0a90076b005aa0005f0ff153 | Security Group Tag: none | EasyVPN: 0 ||
