sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.9 | Public IP: 49.37.200.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:25 IST Sat Jul 18 2020 | Duration: 2d 0h:02m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 21269009375 | Bytes Rx: 893272449 | IP Addr: 10.149.235.9 | Public IP: 49.37.200.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:25 IST Sat Jul 18 2020 | Duration: 2d 0h:02m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 21269009375 | Bytes Rx: 893272449 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14158 | Audit Session ID: 0a95072b0374e0005f127a2d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14158 | Audit Session ID: 0a95072b0374e0005f127a2d | Security Group Tag: none | EasyVPN: 0 ||
Username: PinkPate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.186 | Public IP: 103.240.79.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:22 IST Sat Jul 18 2020 | Duration: 1d 22h:46m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 600101949 | Bytes Rx: 239748715 | IP Addr: 10.149.234.186 | Public IP: 103.240.79.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:13:22 IST Sat Jul 18 2020 | Duration: 1d 22h:46m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 600101949 | Bytes Rx: 239748715 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14424 | Audit Session ID: 0a95072b038580005f128bfa | Security Group Tag: none | EasyVPN: 0 |Session ID: 14424 | Audit Session ID: 0a95072b038580005f128bfa | Security Group Tag: none | EasyVPN: 0 ||
Username: Kragotha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.111 | Public IP: 49.37.192.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:41:02 IST Sun Jul 19 2020 | Duration: 20h:19m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1420656235 | Bytes Rx: 1619202193 | IP Addr: 10.149.235.111 | Public IP: 49.37.192.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:41:02 IST Sun Jul 19 2020 | Duration: 20h:19m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1420656235 | Bytes Rx: 1619202193 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15758 | Audit Session ID: 0a95072b03d8e0005f140016 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15758 | Audit Session ID: 0a95072b03d8e0005f140016 | Security Group Tag: none | EasyVPN: 0 ||
Username: itirumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.75 | Public IP: 223.238.62.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:39:21 IST Sun Jul 19 2020 | Duration: 14h:20m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 41644687 | Bytes Rx: 17182905 | IP Addr: 10.149.235.75 | Public IP: 223.238.62.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:39:21 IST Sun Jul 19 2020 | Duration: 14h:20m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 41644687 | Bytes Rx: 17182905 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 16947 | Audit Session ID: 0a95072b042330005f145411 | Security Group Tag: none | EasyVPN: 0 |Session ID: 16947 | Audit Session ID: 0a95072b042330005f145411 | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.238 | Public IP: 183.83.155.241 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:00:51 IST Sun Jul 19 2020 | Duration: 11h:59m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 7090100273 | Bytes Rx: 1540315786 | IP Addr: 10.149.234.238 | Public IP: 183.83.155.241 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 22:00:51 IST Sun Jul 19 2020 | Duration: 11h:59m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 7090100273 | Bytes Rx: 1540315786 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17077 | Audit Session ID: 0a95072b042b50005f14753b | Security Group Tag: none | EasyVPN: 0 |Session ID: 17077 | Audit Session ID: 0a95072b042b50005f14753b | Security Group Tag: none | EasyVPN: 0 ||
Username: josamuel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.208 | Public IP: 183.83.154.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:49:42 IST Mon Jul 20 2020 | Duration: 9h:10m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 72026409 | Bytes Rx: 41763626 | IP Addr: 10.149.235.208 | Public IP: 183.83.154.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:49:42 IST Mon Jul 20 2020 | Duration: 9h:10m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 72026409 | Bytes Rx: 41763626 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17182 | Audit Session ID: 0a95072b0431e0005f149cce | Security Group Tag: none | EasyVPN: 0 |Session ID: 17182 | Audit Session ID: 0a95072b0431e0005f149cce | Security Group Tag: none | EasyVPN: 0 ||
Username: SPatnam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.127 | Public IP: 157.47.101.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:29 IST Mon Jul 20 2020 | Duration: 5h:26m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 244174700 | Bytes Rx: 69596867 | IP Addr: 10.149.234.127 | Public IP: 157.47.101.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:29 IST Mon Jul 20 2020 | Duration: 5h:26m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 244174700 | Bytes Rx: 69596867 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17198 | Audit Session ID: 0a95072b0432e0005f14d141 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17198 | Audit Session ID: 0a95072b0432e0005f14d141 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramaredd | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.129 | Public IP: 157.48.132.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:45:04 IST Mon Jul 20 2020 | Duration: 5h:15m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 47046723 | Bytes Rx: 25811199 | IP Addr: 10.149.234.129 | Public IP: 157.48.132.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:45:04 IST Mon Jul 20 2020 | Duration: 5h:15m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 47046723 | Bytes Rx: 25811199 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17200 | Audit Session ID: 0a95072b043300005f14d3f8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17200 | Audit Session ID: 0a95072b043300005f14d3f8 | Security Group Tag: none | EasyVPN: 0 ||
Username: partvija | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.197 | Public IP: 157.50.211.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:49:28 IST Mon Jul 20 2020 | Duration: 5h:10m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 40230388 | Bytes Rx: 22341628 | IP Addr: 10.149.235.197 | Public IP: 157.50.211.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:49:28 IST Mon Jul 20 2020 | Duration: 5h:10m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 40230388 | Bytes Rx: 22341628 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17201 | Audit Session ID: 0a95072b043310005f14d500 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17201 | Audit Session ID: 0a95072b043310005f14d500 | Security Group Tag: none | EasyVPN: 0 ||
Username: ryalamar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 49.37.129.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:59:26 IST Mon Jul 20 2020 | Duration: 5h:00m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 507616666 | Bytes Rx: 266113335 | IP Addr: 10.149.234.126 | Public IP: 49.37.129.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:59:26 IST Mon Jul 20 2020 | Duration: 5h:00m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 507616666 | Bytes Rx: 266113335 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17207 | Audit Session ID: 0a95072b043370005f14d756 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17207 | Audit Session ID: 0a95072b043370005f14d756 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmuruges | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.132 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:19:08 IST Mon Jul 20 2020 | Duration: 4h:40m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 113900194 | Bytes Rx: 66377134 | IP Addr: 10.149.234.132 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:19:08 IST Mon Jul 20 2020 | Duration: 4h:40m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 113900194 | Bytes Rx: 66377134 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17212 | Audit Session ID: 0a95072b0433c0005f14dbf4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17212 | Audit Session ID: 0a95072b0433c0005f14dbf4 | Security Group Tag: none | EasyVPN: 0 ||
