sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rip | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 |Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 ||
Username: bjani | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.74 | Public IP: 42.107.131.229 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:26:46 UTC Sat Jul 11 2020 | Duration: 8d 23h:03m:25s | Inactivity:  1d 21h:33m:09s | Bytes Tx: 1950730632 | Bytes Rx: 275332901 | IP Addr: 10.145.233.74 | Public IP: 42.107.131.229 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:26:46 UTC Sat Jul 11 2020 | Duration: 8d 23h:03m:25s | Inactivity:  1d 21h:33m:09s | Bytes Tx: 1950730632 | Bytes Rx: 275332901 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4900 | Audit Session ID: 0a910728013240005f094d96 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4900 | Audit Session ID: 0a910728013240005f094d96 | Security Group Tag: none | EasyVPN: 0 ||
Username: ahollowa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.38 | Public IP: 86.20.115.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:53 UTC Sat Jul 11 2020 | Duration: 8d 19h:53m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 3634137579 | Bytes Rx: 3318372033 | IP Addr: 10.145.233.38 | Public IP: 86.20.115.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:53 UTC Sat Jul 11 2020 | Duration: 8d 19h:53m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 3634137579 | Bytes Rx: 3318372033 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4930 | Audit Session ID: 0a910728013420005f097a25 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4930 | Audit Session ID: 0a910728013420005f097a25 | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.185 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:54:36 UTC Mon Jul 13 2020 | Duration: 6d 19h:35m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2991813898 | Bytes Rx: 735749953 | IP Addr: 10.145.233.185 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:54:36 UTC Mon Jul 13 2020 | Duration: 6d 19h:35m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2991813898 | Bytes Rx: 735749953 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5389 | Audit Session ID: 0a9107280150d0005f0c214c | Security Group Tag: none | EasyVPN: 0 |Session ID: 5389 | Audit Session ID: 0a9107280150d0005f0c214c | Security Group Tag: none | EasyVPN: 0 ||
Username: hmoussa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.186 | Public IP: 37.156.75.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:59:48 UTC Mon Jul 13 2020 | Duration: 6d 19h:30m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3188409129 | Bytes Rx: 2097219686 | IP Addr: 10.145.233.186 | Public IP: 37.156.75.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:59:48 UTC Mon Jul 13 2020 | Duration: 6d 19h:30m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3188409129 | Bytes Rx: 2097219686 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5392 | Audit Session ID: 0a910728015100005f0c2284 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5392 | Audit Session ID: 0a910728015100005f0c2284 | Security Group Tag: none | EasyVPN: 0 ||
Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.134 | Public IP: 62.16.175.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:43 UTC Wed Jul 15 2020 | Duration: 4d 21h:50m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1315233601 | Bytes Rx: 268596535 | IP Addr: 10.145.233.134 | Public IP: 62.16.175.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:43 UTC Wed Jul 15 2020 | Duration: 4d 21h:50m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1315233601 | Bytes Rx: 268596535 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6263 | Audit Session ID: 0a910728018770005f0ea4af | Security Group Tag: none | EasyVPN: 0 |Session ID: 6263 | Audit Session ID: 0a910728018770005f0ea4af | Security Group Tag: none | EasyVPN: 0 ||
Username: bwilfred | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.210 | Public IP: 82.171.100.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 UTC Fri Jul 17 2020 | Duration: 2d 20h:37m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1154928532 | Bytes Rx: 655411512 | IP Addr: 10.145.233.210 | Public IP: 82.171.100.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 UTC Fri Jul 17 2020 | Duration: 2d 20h:37m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1154928532 | Bytes Rx: 655411512 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7279 | Audit Session ID: 0a91072801c6f0005f1158e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7279 | Audit Session ID: 0a91072801c6f0005f1158e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: JorgHart | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.232 | Public IP: 84.149.93.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:10 UTC Fri Jul 17 2020 | Duration: 2d 20h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 679310843 | Bytes Rx: 365449751 | IP Addr: 10.145.233.232 | Public IP: 84.149.93.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:10 UTC Fri Jul 17 2020 | Duration: 2d 20h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 679310843 | Bytes Rx: 365449751 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7311 | Audit Session ID: 0a91072801c8f0005f115e0e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7311 | Audit Session ID: 0a91072801c8f0005f115e0e | Security Group Tag: none | EasyVPN: 0 ||
Username: skandram | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.157 | Public IP: 148.252.128.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:34:58 UTC Fri Jul 17 2020 | Duration: 2d 19h:55m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 10652252175 | Bytes Rx: 607978956 | IP Addr: 10.145.233.157 | Public IP: 148.252.128.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:34:58 UTC Fri Jul 17 2020 | Duration: 2d 19h:55m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 10652252175 | Bytes Rx: 607978956 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7324 | Audit Session ID: 0a91072801c9c0005f1162b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7324 | Audit Session ID: 0a91072801c9c0005f1162b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.1 | Public IP: 83.146.13.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:55:34 UTC Fri Jul 17 2020 | Duration: 2d 17h:34m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1718186051 | Bytes Rx: 520853263 | IP Addr: 10.145.232.1 | Public IP: 83.146.13.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:55:34 UTC Fri Jul 17 2020 | Duration: 2d 17h:34m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1718186051 | Bytes Rx: 520853263 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7418 | Audit Session ID: 0a91072801cfa0005f1183a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7418 | Audit Session ID: 0a91072801cfa0005f1183a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.5 | Public IP: 90.213.159.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:00:17 UTC Fri Jul 17 2020 | Duration: 2d 15h:29m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 519792990 | Bytes Rx: 197892774 | IP Addr: 10.145.232.5 | Public IP: 90.213.159.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:00:17 UTC Fri Jul 17 2020 | Duration: 2d 15h:29m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 519792990 | Bytes Rx: 197892774 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7483 | Audit Session ID: 0a91072801d3b0005f11a0e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7483 | Audit Session ID: 0a91072801d3b0005f11a0e1 | Security Group Tag: none | EasyVPN: 0 ||
