sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PratKamb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 22h:20m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2424107426 | Bytes Rx: 529072457 | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 22h:20m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2424107426 | Bytes Rx: 529072457 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 |Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 ||
Username: VisheshK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 3h:27m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 621506754 | Bytes Rx: 255535454 | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 3h:27m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 621506754 | Bytes Rx: 255535454 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 1d 0h:24m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1748007873 | Bytes Rx: 182651375 | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 1d 0h:24m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1748007873 | Bytes Rx: 182651375 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 ||
Username: gmalik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 22h:48m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 597081113 | Bytes Rx: 116352906 | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 22h:48m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 597081113 | Bytes Rx: 116352906 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 |Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 ||
Username: rahulmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 20h:33m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 727678055 | Bytes Rx: 249943975 | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 20h:33m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 727678055 | Bytes Rx: 249943975 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 14h:30m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 237063904 | Bytes Rx: 25239740 | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 14h:30m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 237063904 | Bytes Rx: 25239740 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: ankipate | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.159 | Public IP: 157.43.28.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:56 IST Sun Jul 19 2020 | Duration: 12h:19m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1520747062 | Bytes Rx: 592778010 | IP Addr: 10.150.239.159 | Public IP: 157.43.28.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:56 IST Sun Jul 19 2020 | Duration: 12h:19m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1520747062 | Bytes Rx: 592778010 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130913 | Audit Session ID: 0a96cf6a1ff610005f147798 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130913 | Audit Session ID: 0a96cf6a1ff610005f147798 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 11h:50m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 124599420 | Bytes Rx: 31905196 | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 11h:50m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 124599420 | Bytes Rx: 31905196 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 ||
Username: RajvaRaw | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 8h:11m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 843950062 | Bytes Rx: 114757357 | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 8h:11m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 843950062 | Bytes Rx: 114757357 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: prasgiri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 5h:59m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 130781983 | Bytes Rx: 65237725 | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 5h:59m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 130781983 | Bytes Rx: 65237725 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 ||
Username: jofranci | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.57 | Public IP: 106.208.122.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:15 IST Mon Jul 20 2020 | Duration: 5h:56m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 411401222 | Bytes Rx: 99678442 | IP Addr: 10.150.239.57 | Public IP: 106.208.122.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:33:15 IST Mon Jul 20 2020 | Duration: 5h:56m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 411401222 | Bytes Rx: 99678442 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131118 | Audit Session ID: 0a96cf6a2002e0005f14d133 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131118 | Audit Session ID: 0a96cf6a2002e0005f14d133 | Security Group Tag: none | EasyVPN: 0 ||
